#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000142805.1	PRJNA39575	SAMEA3138300		representative genome	559295	381046	Lachancea thermotolerans CBS 6340	strain=CBS 6340		latest	Chromosome	Major	Full	2009/06/05	ASM14280v1	Génolevures Consortium	GCA_000142805.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/142/805/GCF_000142805.1_ASM14280v1		assembly from type material
GCF_000516985.1	PRJNA245144	SAMN02369365	ARNU00000000.1	representative genome	1229662	393283	Pestalotiopsis fici W106-1	strain=W106-1		latest	Scaffold	Major	Full	2014/01/10	PFICI	Institute of microbiology, chinese academy of sciences	GCA_000516985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/516/985/GCF_000516985.1_PFICI		
GCF_001481775.2	PRJNA342687	SAMN02849381	JPDN00000000.2	representative genome	398673	398673	Trichoderma gamsii	strain=T6085		latest	Scaffold	Major	Full	2018/02/02	TGAM01v2	University of Pisa	GCA_001481775.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/775/GCF_001481775.2_TGAM01v2		
GCF_003013735.1	PRJNA453594	SAMN08714088	PYFQ00000000.1	representative genome	418784	418784	[Candida] pseudohaemulonis	strain=B12108		latest	Scaffold	Major	Full	2018/03/22	Cand_pseudohaemulonii_B12108	Broad Institute of MIT and Harvard	GCA_003013735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/013/735/GCF_003013735.1_Cand_pseudohaemulonii_B12108		
GCF_000304475.1	PRJNA178246	SAMEA2272790		representative genome	1071382	432096	Kazachstania africana CBS 2517	strain=type strain:CBS 2517		latest	Chromosome	Major	Full	2012/01/17	Ka_CBS2517	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000304475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/475/GCF_000304475.1_Ka_CBS2517		assembly from type material
GCF_003184745.1	PRJNA479913	SAMN05660759	MSFT00000000.1	representative genome	1448315	446911	Aspergillus uvarum CBS 121591	strain=CBS 121591		latest	Scaffold	Major	Full	2018/06/04	Aspuva1	DOE Joint Genome Institute	GCA_003184745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/745/GCF_003184745.1_Aspuva1		assembly designated as reftype
GCF_000512605.1	PRJNA352840	SAMN01932741	ASCL00000000.1	representative genome	1296096	453459	Kwoniella pini CBS 10737	strain=CBS 10737		latest	Scaffold	Major	Full	2016/07/14	Cryp_pinu_CBS10737_V1	Broad Institute	GCA_000512605.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/512/605/GCF_000512605.1_Cryp_pinu_CBS10737_V1		assembly from type material
GCF_000027005.1	PRJNA39439	SAMEA2272385		representative genome	644223	460519	Komagataella phaffii GS115			latest	Chromosome	Major	Full	2009/05/25	ASM2700v1	Unit for Molecular Glycobiology, Department for Molecular Biomedical Research, VIB, UGent, Belgium	GCA_000027005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/027/005/GCF_000027005.1_ASM2700v1		
GCF_001664045.1	PRJNA342693	SAMN00726693	AECK00000000.1	representative genome	460523	460523	Ogataea polymorpha	strain=NCYC 495 leu1.1		latest	Contig	Major	Full	2016/06/17	Hanpo2	JGI-PGF	GCA_001664045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/045/GCF_001664045.1_Hanpo2		
GCF_000507465.1	PRJNA352839	SAMN01932738	ASQE00000000.1	representative genome	1296122	463800	Kwoniella mangroviensis CBS 8507	strain=CBS 8507		latest	Scaffold	Major	Full	2016/07/14	Kwon_mang_CBS8507_V2	Broad Institute	GCA_000507465.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/507/465/GCF_000507465.1_Kwon_mang_CBS8507_V2		assembly from type material
GCF_000585515.1	PRJNA245128	SAMN00974102	AMGW00000000.1	representative genome	1182544	470704	Cladophialophora yegresii CBS 114405	strain=CBS 114405		latest	Scaffold	Major	Full	2014/03/05	Clad_yegr_CBS_114405_V1	Broad Institute	GCA_000585515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/515/GCF_000585515.1_Clad_yegr_CBS_114405_V1		assembly from type material
GCF_003184765.1	PRJNA479915	SAMN05660730	PSTE00000000.1	representative genome	1448322	487661	Aspergillus aculeatinus CBS 121060	strain=CBS 121060		latest	Scaffold	Major	Full	2018/06/04	Aspacu1	DOE Joint Genome Institute	GCA_003184765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/765/GCF_003184765.1_Aspacu1		assembly designated as reftype
GCF_002775015.1	PRJNA535510	SAMN05379609	PGLS00000000.1	representative genome	498019	498019	[Candida] auris	strain=B11221		latest	Scaffold	Major	Full	2017/11/15	Cand_auris_B11221_V1	Centers for Disease Control and Prevention	GCA_002775015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/775/015/GCF_002775015.1_Cand_auris_B11221_V1		
GCF_000814965.1	PRJNA302307	SAMN03268432	AZNG00000000.1	representative genome	1276141	500148	Metarhizium brunneum ARSEF 3297	strain=ARSEF 3297		latest	Scaffold	Major	Full	2015/01/06	MBR_1.0	Shanghai Insititutes for Biological Sciences, CAS	GCA_000814965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/965/GCF_000814965.1_MBR_1.0		
GCF_000721765.1	PRJNA292600	SAMN02744099	AYEM00000000.1	representative genome	1043004	559561	Aureobasidium namibiae CBS 147.97	strain=CBS 147.97		latest	Scaffold	Major	Full	2014/07/08	Aureobasidium pullulans var. namibiae CBS 147.97 v1.0	DOE Joint Genome Institute	GCA_000721765.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/765/GCF_000721765.1_Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0		assembly from type material
GCF_000732125.1	PRJNA319335	SAMN02727168	JOWA00000000.1	representative genome	563466	563466	Scedosporium apiospermum	strain=IHEM 14462		latest	Scaffold	Major	Full	2014/07/21	ScApio1.0	LUNAM - Angers University	GCA_000732125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/732/125/GCF_000732125.1_ScApio1.0		
GCF_000187425.2	PRJNA245140	SAMN02981260	ADNJ00000000.2	representative genome	655844	568076	Metarhizium robertsii ARSEF 23	strain=ARSEF 23		latest	Scaffold	Major	Full	2014/12/19	MAA 2.0	Metarhizium genome sequencing Consortium	GCA_000187425.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/425/GCF_000187425.2_MAA_2.0		
GCF_000835495.1	PRJNA326656	SAMN03176946	JYBZ00000000.1	representative genome	569365	569365	Cladophialophora immunda	strain=CBS 83496		latest	Scaffold	Major	Full	2015/02/23	Clad_immu_CBS83496_V1	Broad Institute	GCA_000835495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/835/495/GCF_000835495.1_Clad_immu_CBS83496_V1		
GCF_000280035.1	PRJNA215743	SAMN03081437		representative genome	1178016	571949	Encephalitozoon romaleae SJ-2008	strain=SJ-2008		latest	Chromosome	Major	Full	2012/07/19	ASM28003v2	University of Ottawa	GCA_000280035.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/280/035/GCF_000280035.1_ASM28003v2		
GCF_000250985.1	PRJNA242543	SAMN02981274	AEFF00000000.2	representative genome	881290	586133	Nematocida parisii ERTm1	strain=ERTm1		latest	Scaffold	Major	Full	2012/05/14	Nema_parisii_ERTm1_V3	Broad Institute	GCA_000250985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/250/985/GCF_000250985.1_Nema_parisii_ERTm1_V3		
GCF_000439145.1	PRJNA471752	SAMN02744054	AUPC00000000.2	representative genome	747089	588596	Rhizophagus irregularis DAOM 181602=DAOM 197198	strain=DAOM 197198		latest	Scaffold	Major	Full	2018/01/30	ASM43914v3	DOE Joint Genome Institute	GCA_000439145.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/439/145/GCF_000439145.1_ASM43914v3		
GCF_000348985.1	PRJNA244480	SAMEA2272481		representative genome	1071383	588726	Kazachstania naganishii CBS 8797	strain=type strain:CBS 8797		latest	Chromosome	Major	Full	2012/09/05	ASM34898v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000348985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/348/985/GCF_000348985.1_ASM34898v1		assembly from type material
GCF_000313525.1	PRJNA244785	SAMEA2272653	CAGC00000000.1	representative genome	599839	599839	Fibroporia radiculosa	strain=TFFH 294		latest	Scaffold	Major	Full	2012/03/30	ASM31352v1	Forest Products, Mississippi State University	GCA_000313525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/525/GCF_000313525.1_ASM31352v1		
GCF_001641265.1	PRJNA342683	SAMN03382554	LAJJ00000000.1	representative genome	655981	655981	Pseudogymnoascus destructans	strain=20631-21		latest	Scaffold	Major	Full	2016/05/10	ASM164126v1	US Forest Service	GCA_001641265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/641/265/GCF_001641265.1_ASM164126v1		assembly from type material
GCF_000298775.1	PRJNA215720	SAMN02981355	AFXC00000000.1	representative genome	1072389	698440	Marssonina brunnea f. sp. 'multigermtubi' MB_m1	strain=MB_m1		latest	Scaffold	Major	Full	2012/09/26	ASM29877v1	Nanjing Forestry University	GCA_000298775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/775/GCF_000298775.1_ASM29877v1		
GCF_001661395.1	PRJNA374043	SAMN00794652	LYBQ00000000.1	representative genome	984485	717740	Hyphopichia burtonii NRRL Y-1933	strain=NRRL Y-1933		latest	Scaffold	Major	Full	2016/09/15	Hypbu1	DOE Joint Genome Institute	GCA_001661395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/395/GCF_001661395.1_Hypbu1		assembly from type material
GCF_000002655.1	PRJNA14003	SAMN00115746	AAHF00000000.1	representative genome	330879	746128	Aspergillus fumigatus Af293	strain=Af293		latest	Chromosome	Major	Full	2005/06/10	ASM265v1	J. Craig Venter Institute	GCA_000002655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/655/GCF_000002655.1_ASM265v1		
GCF_001640025.1	PRJNA342695	SAMN04417247		representative genome	796027	796027	Sugiyamaella lignohabitans	strain=CBS 10342		latest	Complete Genome	Major	Full	2016/05/06	ASM164002v2	University of Natural Resources and Life Sciences	GCA_001640025.2	different	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/025/GCF_001640025.1_ASM164002v2		assembly from type material
GCF_001646965.1	PRJNA342681	SAMN04498467	LVCJ00000000.1	representative genome	856822	856822	Fonsecaea nubica	strain=CBS 269.64		latest	Scaffold	Major	Full	2016/05/18	ASM164696v1	Federal University of Parana	GCA_001646965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/646/965/GCF_001646965.1_ASM164696v1		assembly from type material
GCF_000004155.1	PRJNA264109	SAMN02953762	ACQJ00000000.2	representative genome	653667	866546	Schizosaccharomyces cryophilus OY26	strain=OY26		latest	Scaffold	Major	Full	2013/07/31	SCY4	Broad Institute	GCA_000004155.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/004/155/GCF_000004155.1_SCY4		assembly from type material
GCF_001027345.1	PRJNA342699	SAMN02744832	JZUH00000000.1	representative genome	879819	879819	Cutaneotrichosporon oleaginosum	strain=IBC0246		latest	Scaffold	Major	Full	2015/06/12	Triol1	DOE Joint Genome Institute	GCA_001027345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/345/GCF_001027345.1_Triol1		
GCF_003184585.1	PRJNA479909	SAMN05660449	MSFQ00000000.1	representative genome	1450539	979771	Aspergillus saccharolyticus JOP 1030-1	strain=JOP 1030-1		latest	Scaffold	Major	Full	2018/06/04	Aspsac1	DOE Joint Genome Institute	GCA_003184585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/585/GCF_003184585.1_Aspsac1		
GCF_000836435.1	PRJNA319325	SAMN02567659	JYBV00000000.1	representative genome	1442371	979981	Fonsecaea multimorphosa CBS 102226	strain=CBS 102226		latest	Scaffold	Major	Full	2015/02/25	Fons_mult_CBS_102226_V1	Broad Institute	GCA_000836435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/836/435/GCF_000836435.1_Fons_mult_CBS_102226_V1		
GCF_000320585.1	PRJNA245138	SAMN02743865	AEOJ00000000.1	representative genome	747525	984962	Heterobasidion irregulare TC 32-1	strain=TC 32-1		latest	Scaffold	Major	Full	2014/01/17	Heterobasidion irregulare v2.0	JGI	GCA_000320585.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/320/585/GCF_000320585.1_Heterobasidion_irregulare_v2.0		
GCF_000187245.1	PRJNA264114	SAMN02981294	AEOI00000000.2	representative genome	871575	1005962	Ogataea parapolymorpha DL-1	strain=DL-1		latest	Chromosome	Major	Full	2013/12/20	Hansenula_2	Centre	GCA_000187245.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/187/245/GCF_000187245.1_Hansenula_2		
GCF_000709125.1	PRJNA292601	SAMN00974103	AMGV00000000.1	representative genome	1182545	1033840	Exophiala aquamarina CBS 119918	strain=CBS 119918		latest	Scaffold	Major	Full	2014/06/16	Exop_aqua_CBS_119918_V1	Broad Institute	GCA_000709125.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/709/125/GCF_000709125.1_Exop_aqua_CBS_119918_V1		assembly from type material
GCF_000313485.1	PRJNA248426	SAMEA2272793	CAIF00000000.1	representative genome	1041607	1041607	Wickerhamomyces ciferrii	strain=NRRL Y-1031 F-60-10		latest	Contig	Major	Full	2012/09/21	ASM31348v1	Center for Biotechnology	GCA_000313485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/313/485/GCF_000313485.1_ASM31348v1		assembly from type material
GCF_000721755.1	PRJNA292599	SAMN02744088	AYYB00000000.1	representative genome	1043005	1042127	Aureobasidium subglaciale EXF-2481	strain=EXF-2481		latest	Scaffold	Major	Full	2014/07/08	Aureobasidium pullulans var. subglaciale EXF-2481 v1.0	JGI	GCA_000721755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/755/GCF_000721755.1_Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0		assembly from type material
GCF_000219625.1	PRJNA170847	SAMN02746078	ACPE00000000.1	representative genome	336722	1047171	Zymoseptoria tritici IPO323	strain=IPO323		latest	Chromosome	Major	Full	2011/07/06	MYCGR v2.0	DOE Joint Genome Institute	GCA_000219625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/625/GCF_000219625.1_MYCGR_v2.0		assembly from type material
GCF_000150705.2	PRJNA48325	SAMN02953719	ABKH00000000.2	representative genome	502779	1048829	Paracoccidioides lutzii Pb01	strain=Pb01		latest	Scaffold	Major	Full	2014/11/03	Paracocci_br_Pb01_V2	Broad Institute	GCA_000150705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/705/GCF_000150705.2_Paracocci_br_Pb01_V2		assembly from type material
GCF_000150825.1	PRJNA51263	SAMN02953725	ABPE00000000.1	representative genome	526221	1051613	Verticillium alfalfae VaMs.102	strain=VaMs.102		latest	Scaffold	Major	Full	2008/06/16	ASM15082v1	Broad Institute	GCA_000150825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/825/GCF_000150825.1_ASM15082v1		
GCF_003724135.1	PRJNA531016	SAMN10135221	RBVV00000000.1	representative genome	1051616	1051616	Verticillium nonalfalfae	strain=VnAa140		latest	Scaffold	Major	Full	2018/11/13	ASM372413v1	West Virignia University	GCA_003724135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/724/135/GCF_003724135.1_ASM372413v1		
GCF_000315915.1	PRJNA188088	SAMEA2271984		representative genome	1071380	1071379	Tetrapisispora blattae CBS 6284	strain=type strain:CBS 6284		latest	Chromosome	Major	Full	2012/05/11	ASM31591v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000315915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/315/915/GCF_000315915.1_ASM31591v1		assembly from type material
GCF_001298625.1	PRJNA342694	SAMN02716114	JMCK00000000.1	representative genome	1080349	1080349	Saccharomyces eubayanus	strain=FM1318		latest	Chromosome	Major	Full	2015/11/04	SEUB3.0	University of Wisconsin-Madison	GCA_001298625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/625/GCF_001298625.1_SEUB3.0		
GCF_000226395.1	PRJNA39879	SAMEA2272345		representative genome	500485	1108849	Penicillium rubens Wisconsin 54-1255			latest	Scaffold	Major	Full	2008/11/04	PenChr_Nov2007	DSM Anti-Infectives, The Netherlands	GCA_000226395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/226/395/GCF_000226395.1_PenChr_Nov2007		
GCF_000585535.1	PRJNA245127	SAMN00974101	AMGX00000000.1	representative genome	1182543	1182553	Cladophialophora psammophila CBS 110553	strain=CBS 110553		latest	Scaffold	Major	Full	2014/03/05	Clad_psam_CBS_110553_V1	Broad Institute	GCA_000585535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/585/535/GCF_000585535.1_Clad_psam_CBS_110553_V1		assembly from type material
GCF_003184695.1	PRJNA479912	SAMN05660981	PSTC00000000.1	representative genome	1450534	1191711	Aspergillus brunneoviolaceus CBS 621.78	strain=CBS 621.78		latest	Scaffold	Major	Full	2018/06/04	Aspbru1	DOE Joint Genome Institute	GCA_003184695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/695/GCF_003184695.1_Aspbru1		assembly from type material
GCF_003184625.1	PRJNA479911	SAMN05660318	MSFP00000000.1	representative genome	1448310	1196635	Aspergillus neoniger CBS 115656	strain=CBS 115656		latest	Scaffold	Major	Full	2018/06/04	Aspneo1	DOE Joint Genome Institute	GCA_003184625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/625/GCF_003184625.1_Aspneo1		assembly designated as reftype
GCF_001831195.1	PRJNA411788	SAMN05771038	MJBS00000000.1	representative genome	1209926	1209926	Colletotrichum orchidophilum	strain=IMI 309357		latest	Scaffold	Major	Full	2016/10/21	CORC01	University of Western Brittany	GCA_001831195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/831/195/GCF_001831195.1_CORC01		
GCF_001619985.1	PRJNA342690	SAMN02744854	JXCS00000000.1	representative genome	1328760	1217826	Xylona heveae TC161	strain=TC161		latest	Scaffold	Major	Full	2016/04/14	Xylona heveae TC161 v1.0	DOE Joint Genome Institute	GCA_001619985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/619/985/GCF_001619985.1_Xylona_heveae_TC161_v1.0		assembly from type material
GCF_002926085.2	PRJNA479899	SAMN08161465	PKFP00000000.1	representative genome	1231522	1231522	[Candida] duobushaemulonis	strain=B09383		latest	Contig	Minor	Full	2018/02/13	CanDuoHae_v1.0	Centers for Disease Control and Prevention	GCA_002926085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/926/085/GCF_002926085.2_CanDuoHae_v1.0		
GCF_000938715.1	PRJNA413304	SAMEA3170909	CDLU00000000.1	representative genome	1245769	1245769	Lachancea lanzarotensis	strain=CBS 12615		latest	Scaffold	Major	Full	2015/01/21	LALA0	INRA UMR 1319	GCA_000938715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/938/715/GCF_000938715.1_LALA0		assembly from type material
GCF_003144205.1	PRJNA479903	SAMN02787052	MCHC00000000.1	representative genome	1280837	1280837	Meira miltonrushii	strain=MCA 3882		latest	Scaffold	Major	Full	2018/05/21	Meimi1	DOE Joint Genome Institute	GCA_003144205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/205/GCF_003144205.1_Meimi1		assembly designated as reftype
GCF_003711515.1	PRJNA531015	SAMN02745840	NITX00000000.1	representative genome	1314773	1302862	Sodiomyces alkalinus F11	strain=F11		latest	Scaffold	Major	Full	2018/11/05	Sodal1	DOE Joint Genome Institute	GCA_003711515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/515/GCF_003711515.1_Sodal1		assembly from type material
GCF_003184535.1	PRJNA479907	SAMN05660444	MSFU00000000.1	representative genome	1448314	1340029	Aspergillus eucalypticola CBS 122712	strain=CBS 122712		latest	Contig	Major	Full	2018/06/04	Aspeuc1	DOE Joint Genome Institute	GCA_003184535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/184/535/GCF_003184535.1_Aspeuc1		assembly designated as reftype
GCF_003344945.1	PRJNA495497	SAMN05446521	QQZQ00000000.1	representative genome	1341132	1341132	Aspergillus welwitschiae	strain=CBS 139.54b		latest	Scaffold	Major	Full	2018/07/30	Aspwel1	DOE Joint Genome Institute	GCA_003344945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/344/945/GCF_003344945.1_Aspwel1		
GCF_001651985.1	PRJNA342681	SAMN04497957	LVYI00000000.1	representative genome	1367422	1367422	Fonsecaea erecta	strain=CBS 125763		latest	Scaffold	Major	Full	2016/05/25	ASM165198v1	Federal University of Parana	GCA_001651985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/985/GCF_001651985.1_ASM165198v1		
GCF_000497045.1	PRJNA292598	SAMN02334589	AWXO00000000.1	representative genome	1365824	1392244	Kalmanozyma brasiliensis GHG001	strain=GHG001		latest	Scaffold	Major	Full	2013/11/15	PSEUBRA1	Laboratorio Nacional de Ciencia e Tecnologia do Bioetanol	GCA_000497045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/497/045/GCF_000497045.1_PSEUBRA1		assembly from type material
GCF_001907595.1	PRJNA374571	SAMN03339010	LFMY00000000.1	representative genome	1441469	1441469	Talaromyces atroroseus	strain=IBT 11181		latest	Scaffold	Major	Full	2016/12/16	ASM190759v1	Technical University of Denmark	GCA_001907595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/907/595/GCF_001907595.1_ASM190759v1		
GCF_001642045.1	PRJNA342679	SAMN02745364	LXPO00000000.1	representative genome	1460663	1460663	Paraphaeosphaeria sporulosa	strain=AP3s5-JAC2a		latest	Scaffold	Major	Full	2016/05/11	Parsp1	DOE Joint Genome Institute	GCA_001642045.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/045/GCF_001642045.1_Parsp1		
GCF_000760515.1	PRJNA292596	SAMN02714227	JMKJ00000000.1	representative genome	1485682	1485682	Mitosporidium daphniae	strain=UGP3		latest	Contig	Major	Full	2014/09/30	UGP1.0	Illinois Institute of Technology	GCA_000760515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/760/515/GCF_000760515.1_UGP1.0		
GCF_003144195.1	PRJNA479902	SAMN02919188	MCHD00000000.1	representative genome	1522189	1522189	Ceraceosorus guamensis	strain=MCA 4658		latest	Scaffold	Major	Full	2018/05/21	Cersp1	DOE Joint Genome Institute	GCA_003144195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/195/GCF_003144195.1_Cersp1		assembly designated as reftype
GCF_003144245.1	PRJNA479904	SAMN05446219	MCHB00000000.1	representative genome	1569628	1569628	Jaminaea rosea	strain=MCA 5214		latest	Scaffold	Major	Full	2018/05/21	Jamsp1	DOE Joint Genome Institute	GCA_003144245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/245/GCF_003144245.1_Jamsp1		assembly designated as reftype
GCF_001299255.1	PRJNA309727	SAMN03765150	LFJN00000000.1	representative genome	1664694	1664694	Phialophora attae	strain=CBS 131958		latest	Contig	Major	Full	2015/09/25	ASM129925v1	CBS-KNAW Fungal Biodiversity Centre	GCA_001299255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/299/255/GCF_001299255.1_ASM129925v1		assembly from type material
GCF_000003855.2	PRJNA41099	SAMN02953742	ACBU00000000.1	representative genome	559298	1681229	Blastomyces gilchristii SLH14081	strain=SLH14081		latest	Scaffold	Major	Full	2009/02/24	BD_SLH14081_V1	Broad Institute	GCA_000003855.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/003/855/GCF_000003855.2_BD_SLH14081_V1		
GCF_003144135.1	PRJNA479901	SAMN05428992	MCHA00000000.1	representative genome	1684307	1684307	Pseudomicrostroma glucosiphilum	strain=MCA 4718		latest	Scaffold	Major	Full	2018/05/21	Rhodsp1	DOE Joint Genome Institute	GCA_003144135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/144/135/GCF_003144135.1_Rhodsp1		assembly designated as reftype
GCF_000263375.1	PRJNA225533	SAMN02769629	AFQX00000000.1	representative genome	671144	1708541	Wallemia mellicola CBS 633.66	strain=CBS 633.66		latest	Scaffold	Major	Full	2012/05/29	Wallemia sebi v1.0	JGI	GCA_000263375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/375/GCF_000263375.1_Wallemia_sebi_v1.0		assembly from type material
GCF_000338955.1	PRJNA245120	SAMN02981283	AEIF00000000.1	representative genome	717646	1709381	Baudoinia panamericana UAMH 10762	strain=UAMH 10762		latest	Scaffold	Major	Full	2013/02/11	Bauco1	JGI	GCA_000338955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/338/955/GCF_000338955.1_Bauco1		assembly from type material
GCF_003369625.1	PRJNA495496	SAMN07195632	PVWQ00000000.1	representative genome	1810919	1810919	Aspergillus mulundensis	strain=DSM 5745		latest	Scaffold	Major	Full	2018/08/10	ASM336962v1	The University of Texas Health Science Center at Houston	GCA_003369625.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/625/GCF_003369625.1_ASM336962v1		assembly from type material
GCF_001773325.1	PRJNA395479	SAMN04884538	LXJU00000000.1	representative genome	1835702	1835702	Penicillium arizonense	strain=CBS 141311		latest	Scaffold	Major	Full	2016/10/18	ASM177332v1	Chalmers University of Technology	GCA_001773325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/773/325/GCF_001773325.1_ASM177332v1		assembly from type material
GCF_000340215.1	PRJNA245146	SAMN02744058	AIHZ00000000.1	representative genome	383855	1873960	Pseudocercospora fijiensis CIRAD86	strain=CIRAD86		latest	Scaffold	Major	Full	2013/02/26	Mycfi2	DOE Joint Genome Institute	GCA_000340215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/340/215/GCF_000340215.1_Mycfi2		
